case_id,mechanism_id,mechanism_label,status,variant_kind,ablation_slowdown,retained_performance_fraction,deployed_median_ms,ablated_median_ms,timed_samples_per_config,correctness_passed,completed_at,note
official_01,runtime_schedule,Runtime schedule,measured,atomic,4.068829208162138,0.245770945114625,0.24268800020217896,0.9874560236930847,25,true,2026-09-01T00:29:22+00:00,Outer capture or compilation is replaced by eager execution.
official_01,attention_path,Attention path,measured,atomic,1.0037214531033471,0.9962923447617453,0.24076800048351288,0.24166400730609894,25,true,2026-09-01T00:29:27+00:00,The deployed attention backend is replaced by generic causal SDPA.
official_01,layout_path,Layout path,measured,dependency_closure,1.1228813629866004,0.8905660321409513,0.24166400730609894,0.27136000990867615,25,true,2026-09-01T00:29:31+00:00,Native QKV materialization is replaced by a view when present. The fused BHSD output bridge is replaced by Torch layout conversion. The zero-copy linear boundary falls back to mixed norm. Its boundary-coupled FFN also falls back to Torch.
official_01,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:29:31+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_01,ffn_path,FFN path,measured,atomic,1.1016948849464572,0.9076923326630497,0.24166400730609894,0.2662400007247925,25,true,2026-09-01T00:29:36+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_01,norm_boundary,Norm / boundary,measured,dependency_closure,1.9101303430639744,0.5235244828349956,0.2407039999961853,0.45977601408958435,25,true,2026-09-01T00:29:40+00:00,Initial and residual norm specializations fall back to Torch. The boundary-fused output bridge is removed with linear norm. The residual-boundary FFN also falls back to Torch.
official_02,runtime_schedule,Runtime schedule,measured,atomic,18.98591518119286,0.052670624010297054,0.0727040022611618,1.3803520202636719,25,true,2026-09-01T00:29:45+00:00,Outer capture or compilation is replaced by eager execution.
official_02,attention_path,Attention path,measured,atomic,1.0,1.0,0.07168000191450119,0.07168000191450119,25,true,2026-09-01T00:29:49+00:00,The deployed attention backend is replaced by generic causal SDPA.
official_02,layout_path,Layout path,measured,atomic,0.9714285625192358,1.0294117741470037,0.07168000191450119,0.06963200122117996,25,true,2026-09-01T00:29:53+00:00,Native QKV materialization is replaced by a view when present. The fused BHSD output bridge is replaced by Torch layout conversion.
official_02,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:29:53+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_02,ffn_path,FFN path,measured,atomic,1.0857142085000437,0.9210526970827239,0.07168000191450119,0.07782399654388428,25,true,2026-09-01T00:29:57+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_02,norm_boundary,Norm / boundary,measured,atomic,1.5999999792115502,0.6250000081204883,0.07168000191450119,0.11468800157308578,25,true,2026-09-01T00:30:02+00:00,Initial and residual norm specializations fall back to Torch.
official_03,runtime_schedule,Runtime schedule,measured,atomic,13.637500868567463,0.07332721806125495,0.08191999793052673,1.117184042930603,25,true,2026-09-01T00:30:06+00:00,Outer capture or compilation is replaced by eager execution.
official_03,attention_path,Attention path,not_applicable,not_applicable,,,,,,false,2026-09-01T00:30:06+00:00,The deployed program already uses the fallback path.
official_03,layout_path,Layout path,measured,atomic,1.0,1.0,0.08294399827718735,0.08294399827718735,25,true,2026-09-01T00:30:10+00:00,Native QKV materialization is replaced by a view when present.
official_03,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:30:10+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_03,ffn_path,FFN path,measured,atomic,1.0617284172411454,0.9418604454408934,0.08294399827718735,0.08806400001049042,25,true,2026-09-01T00:30:15+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_03,norm_boundary,Norm / boundary,measured,atomic,1.4938271582758855,0.6694214885972212,0.08294399827718735,0.12390399724245071,25,true,2026-09-01T00:30:19+00:00,Initial and residual norm specializations fall back to Torch.
official_04,runtime_schedule,Runtime schedule,measured,atomic,9.533333933888569,0.10489509828720624,0.10751999914646149,1.0250240564346313,25,true,2026-09-01T00:30:23+00:00,Outer capture or compilation is replaced by eager execution.
official_04,attention_path,Attention path,measured,atomic,1.0011904852648,0.9988109303051507,0.10751999914646149,0.10764800012111664,25,true,2026-09-01T00:30:28+00:00,The deployed attention backend is replaced by generic causal SDPA.
official_04,layout_path,Layout path,measured,dependency_closure,1.2,0.8333333333333334,0.10751999914646149,0.12902399897575378,25,true,2026-09-01T00:30:32+00:00,Native QKV materialization is replaced by a view when present. The fused BHSD output bridge is replaced by Torch layout conversion. The zero-copy linear boundary falls back to mixed norm. Its boundary-coupled FFN also falls back to Torch.
official_04,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:30:32+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_04,ffn_path,FFN path,measured,atomic,1.0571428769413813,0.9459459282299548,0.10751999914646149,0.11366400122642517,25,true,2026-09-01T00:30:37+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_04,norm_boundary,Norm / boundary,measured,dependency_closure,1.836538474319822,0.5445026140115897,0.10649599879980087,0.1955839991569519,25,true,2026-09-01T00:30:41+00:00,Initial and residual norm specializations fall back to Torch. The boundary-fused output bridge is removed with linear norm. The residual-boundary FFN also falls back to Torch.
official_05,runtime_schedule,Runtime schedule,measured,atomic,2.693340563139348,0.3712861320569143,0.42188799381256104,1.136288046836853,25,true,2026-09-01T00:30:53+00:00,Outer capture or compilation is replaced by eager execution.
official_05,attention_path,Attention path,not_applicable,not_applicable,,,,,,false,2026-09-01T00:30:53+00:00,The deployed program already uses the fallback path.
official_05,layout_path,Layout path,not_applicable,not_applicable,,,,,,false,2026-09-01T00:30:53+00:00,The deployed program already uses the fallback path.
official_05,projection_precision,Projection precision,measured,atomic,3.002445077549611,0.33306187929210385,0.4188160002231598,1.257472038269043,25,true,2026-09-01T00:31:08+00:00,The clean library path restores all projections to input dtype.
official_05,ffn_path,FFN path,not_applicable,not_applicable,,,,,,false,2026-09-01T00:31:08+00:00,The deployed program already uses the fallback path.
official_05,norm_boundary,Norm / boundary,not_applicable,not_applicable,,,,,,false,2026-09-01T00:31:08+00:00,The deployed program already uses the fallback path.
official_06,runtime_schedule,Runtime schedule,capacity_excluded,capacity_failure,,,,,,false,2026-09-01T00:31:08+00:00,Removing batch tiling exposes the B=10000 full batch; it is excluded from latency attribution to avoid an OOM or timeout being misread as a component cost.
official_06,attention_path,Attention path,measured,atomic,0.9976434573686247,1.0023621090420327,38.67238235473633,38.58124923706055,15,true,2026-09-01T00:31:47+00:00,The deployed attention backend is replaced by generic causal SDPA.
official_06,layout_path,Layout path,measured,dependency_closure,0.9636658388020007,1.0377041083485627,37.821441650390625,36.44723129272461,15,true,2026-09-01T00:32:26+00:00,Native QKV materialization is replaced by a view when present. The fused BHSD output bridge is replaced by Torch layout conversion. The zero-copy linear boundary falls back to mixed norm.
official_06,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:32:26+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_06,ffn_path,FFN path,measured,atomic,1.0378510010189128,0.9635294459592442,38.06412887573242,39.5048942565918,15,true,2026-09-01T00:33:05+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_06,norm_boundary,Norm / boundary,measured,dependency_closure,1.731882344140747,0.5774064291279198,37.839134216308594,65.53292846679688,15,true,2026-09-01T00:33:45+00:00,Initial and residual norm specializations fall back to Torch. The boundary-fused output bridge is removed with linear norm.
official_07,runtime_schedule,Runtime schedule,measured,dependency_closure,13.759494226987965,0.07267708997897562,0.08089599758386612,1.1130880117416382,25,true,2026-09-01T00:33:49+00:00,Outer capture or compilation is replaced by eager execution. The fused initial-norm/QKV primitive also requires CUDA Graph.
official_07,attention_path,Attention path,measured,dependency_closure,1.407407463964921,0.7105262872365473,0.08294399827718735,0.11673600226640701,25,true,2026-09-01T00:33:53+00:00,The deployed attention backend is replaced by generic causal SDPA. Its direct-BSD output contract is replaced with a legal bridge.
official_07,layout_path,Layout path,measured,partial,1.240506325616428,0.8061224512523817,0.08089599758386612,0.10035199671983719,25,true,2026-09-01T00:33:57+00:00,Native QKV materialization is replaced by a view when present. Direct BSD output remains part of the Dh8 attention contract; this cell isolates only the QKV-side layout. Fused initial norm/QKV falls back with native QKV removal.
official_07,projection_precision,Projection precision,not_isolatable,dependency_coupled,,,,,,false,2026-09-01T00:33:57+00:00,"The specialized projection precision is active but coupled to the deployed Triton/layout path, so no clean single-family counterfactual exists."
official_07,ffn_path,FFN path,measured,atomic,1.0506329300457178,0.9518072120169366,0.08089599758386612,0.08499199897050858,25,true,2026-09-01T00:34:02+00:00,The deployed FFN implementation is replaced by the Torch exact-GELU path.
official_07,norm_boundary,Norm / boundary,measured,atomic,3.329113953196434,0.3003802255071066,0.08089599758386612,0.2693119943141937,25,true,2026-09-01T00:34:06+00:00,Initial and residual norm specializations fall back to Torch.
official_08,runtime_schedule,Runtime schedule,measured,atomic,1.2376026471583381,0.8080137856008162,6.236159801483154,7.717887878417969,25,true,2026-09-01T00:34:20+00:00,Outer capture or compilation is replaced by eager execution.
official_08,attention_path,Attention path,not_applicable,not_applicable,,,,,,false,2026-09-01T00:34:20+00:00,The deployed program already uses the fallback path.
official_08,layout_path,Layout path,not_applicable,not_applicable,,,,,,false,2026-09-01T00:34:20+00:00,The deployed program already uses the fallback path.
official_08,projection_precision,Projection precision,measured,atomic,2.8044319343854434,0.35657845274791367,6.603775978088379,18.519840240478516,25,true,2026-09-01T00:34:37+00:00,The clean library path restores all projections to input dtype.
